,product_name,selling_price,actual_price,average_rating,rating_and_rivew,ram,SSD,processor,operating_system,exchange_offer,display_size
0,DELL XPS 13 Core i7 8th Gen - (16 GB/512 GB SSD/Windows 10 Home) 9370 Thin and Light Laptop,"₹1,22,490","₹1,39,104",1.7,3 Ratings & 0 Reviews,16 GB DDR3 RAM,512 GB SSD,Intel Core i7 Processor (8th Gen),64 bit Windows 10 Operating System,"Upto ₹18,100 Off on Exchange",33.78 cm (13.3 inch) Display
1,ASUS ZenBook S Core i7 8th Gen - (16 GB/512 GB SSD/Windows 10 Home) UX391UA-ET012T Thin and Light Lapt...,"₹99,990","₹1,22,990",4.3,30 Ratings & 7 Reviews,16 GB DDR3 RAM,512 GB SSD,Intel Core i7 Processor (8th Gen),64 bit Windows 10 Operating System,"Upto ₹18,100 Off on Exchange",33.78 cm (13.3 inch) Display
2,Lenovo ThinkPad X1 Core i7 10th Gen - (16 GB/512 GB SSD/Windows 10 Home) X1 Carbon 7th Gen 2 in 1 Lapt...,"₹2,14,999","₹2,29,599",0,0,16 GB DDR3 RAM,512 GB SSD,Intel Core i7 Processor (10th Gen),64 bit Windows 10 Operating System,Bank Offer,35.56 cm (14 inch) Touchscreen Display
3,MSI GS Core i7 8th Gen - (16 GB/512 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce GTX 1060) GS65...,"₹1,49,990","₹1,69,990",4.1,10 Ratings & 3 Reviews,16 GB DDR4 RAM,512 GB SSD for Reduced Boot Up Time and in Game Loading,Intel Core i7 Processor (8th Gen),"Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)","Upto ₹18,100 Off on Exchange",39.62 cm (15.6 inch) Display
4,MSI Stealth Core i7 8th Gen - (16 GB/512 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce RTX 2060)...,"₹1,84,790","₹1,89,990",4.8,5 Ratings & 1 Reviews,16 GB DDR4 RAM,512 GB SSD,Intel Core i7 Processor (8th Gen),64 bit Windows 10 Operating System,"Upto ₹18,100 Off on Exchange",39.62 cm (15.6 inch) Display
5,Lenovo Core i7 10th Gen - (16 GB/512 GB SSD/Windows 10/2 GB Graphics) 20S0S1MC00 Business Laptop,"₹1,65,999","₹2,06,997",0,0,16 GB DDR4 RAM,512 GB SSD,Intel Core i7 Processor (10th Gen),Windows 10 Operating System,Bank Offer,30.48 cm (12 inch) Display
6,HP Spectre x360 Core i7 10th Gen - (16 GB/512 GB SSD/Windows 10 Pro) 13-aw0205tu 2 in 1 Laptop,"₹1,62,990","₹1,92,977",3.3,3 Ratings & 1 Reviews,16 GB DDR4 RAM,512 GB SSD,Intel Core i7 Processor (10th Gen),64 bit Windows 10 Operating System,"Upto ₹18,100 Off on Exchange",33.78 cm (13.3 inch) Touchscreen Display
7,Lenovo Thinkbook Core i7 11th Gen - (16 GB/512 GB SSD/Windows 10 Home) TB15 ITL G2 Thin and Light Lapt...,"₹1,40,131",0,4.2,9 Ratings & 0 Reviews,16 GB DDR4 RAM,512 GB SSD,Intel Core i7 Processor (11th Gen),64 bit Windows 10 Operating System,"Upto ₹18,100 Off on Exchange",38.1 cm (15 inch) Display
8,Lenovo Core i7 8th Gen - (16 GB/512 GB SSD/Windows 10 Pro/2 GB Graphics) Thinkpad P43s Thin and Light ...,"₹1,29,990","₹2,44,801",0,0,16 GB DDR4 RAM,512 GB SSD,Intel Core i7 Processor (8th Gen),64 bit Windows 10 Operating System,Bank Offer,35.56 cm (14 inch) Display
9,HP OMEN Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3...,"₹1,22,804",0,0,0,16 GB DDR4 RAM,512 GB SSD,AMD Ryzen 7 Octa Core Processor,64 bit Windows 11 Operating System,0,40.89 cm (16.1 Inch) Display
10,ASUS Core i7 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX RTX3060- 6G...,"₹1,20,990","₹1,49,000",0,0,16 GB DDR4 RAM,512 GB SSD,Intel Core i7 Processor (11th Gen),Windows 11 Operating System,0,39.62 cm (15.6 inch) Display
11,Lenovo Legion 5 Core i7 11th Gen - (16 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce RTX ...,"₹1,17,990","₹1,53,490",4.1,29 Ratings & 6 Reviews,16 GB DDR4 RAM,512 GB SSD,Intel Core i7 Processor (11th Gen),64 bit Windows 10 Operating System,"Upto ₹18,100 Off on Exchange",39.62 cm (15.6 inch) Display
12,DELL Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3060...,"₹1,14,990","₹1,51,940",4.2,5 Ratings & 1 Reviews,16 GB DDR4 RAM,512 GB SSD,AMD Ryzen 7 Octa Core Processor,64 bit Windows 11 Operating System,"Upto ₹18,100 Off on Exchange",39.62 cm (15.6 inch) Display
13,MSI Prestige 15 Core i7 10th Gen - (16 GB/512 GB SSD/Windows 10 Home/4 GB Graphics) Prestige 15 A10SC-...,"₹1,13,490","₹1,34,990",4.3,140 Ratings & 31 Reviews,16 GB DDR4 RAM,512 GB SSD,Intel Core i7 Processor (10th Gen),64 bit Windows 10 Operating System,"Upto ₹18,100 Off on Exchange",39.62 cm (15.6 inch) Display
14,ASUS Ryzen 7 Octa Core 6th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX RT...,"₹1,11,599","₹1,31,990",0,0,16 GB DDR4 RAM,512 GB SSD,AMD Ryzen 7 Octa Core Processor (6th Gen),Windows 11 Operating System,Bank Offer,43.94 cm (17.3 inch) Display
15,HP Ryzen 7 Quad Core 3rd Gen - (16 GB/512 GB SSD/Windows 10 Home) 13-ay0046AU 2 in 1 Laptop,"₹1,09,000","₹1,28,000",0,0,16 GB DDR4 RAM,512 GB SSD,AMD Ryzen 7 Quad Core Processor (3rd Gen),Windows 10 Operating System,Bank Offer,33.78 cm (13.3 inch) Touchscreen Display
16,MSI Pulse GL66 Core i7 11th Gen - (16 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce RTX 3...,"₹1,08,490","₹1,23,990",4.6,5 Ratings & 2 Reviews,16 GB DDR4 RAM,512 GB SSD,Intel Core i7 Processor (11th Gen),64 bit Windows 10 Operating System,"Upto ₹18,100 Off on Exchange",39.62 cm (15.6 inches) Display
17,HP Envy Core i5 10th Gen - (16 GB/512 GB SSD/Windows 10 Home/4 GB Graphics) 15-ep0011TX Laptop,"₹1,07,490","₹1,38,366",4.7,3 Ratings & 0 Reviews,16 GB DDR4 RAM,512 GB SSD,Intel Core i5 Processor (10th Gen),64 bit Windows 10 Operating System,"Upto ₹18,100 Off on Exchange",39.62 cm (15.6 inch) Display
